Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,10.853,100.0,10.099
0.2,0.4,10.957,100.0,10.015
0.2,0.6,10.807,100.0,10.149
0.2,0.8,10.696,100.0,10.284
0.2,1.0,10.779,100.0,10.185
0.4,0.2,10.756,100.0,10.18
0.4,0.4,10.658,100.0,10.286
0.4,0.6,10.791,100.0,10.169
0.4,0.8,10.783,100.0,10.181
0.4,1.0,10.802,100.0,10.134
0.6,0.2,10.397,100.0,10.527
0.6,0.4,10.937,100.0,10.011
0.6,0.6,10.883,100.0,10.069
0.6,0.8,10.684,100.0,10.28
0.6,1.0,11.012,100.0,9.932
0.8,0.2,10.93,100.0,10.038
0.8,0.4,10.81,100.0,10.15
0.8,0.6,10.359,100.0,10.569
0.8,0.8,10.867,100.0,10.089
0.8,1.0,11.046,100.0,9.914
1.0,0.2,10.508,100.0,10.44
1.0,0.4,10.478,100.0,10.478
1.0,0.6,10.699,100.0,10.257
1.0,0.8,11.088,100.0,9.864
1.0,1.0,10.749,100.0,10.199
